NUMBER,STREET,CITY,POSTCODE
2061,W 800   N,Cambridge,83333
54,N 1900   W,Pocatello,83383
79,N 2200   W,Pocatello,83606
121,N 1900   W,Pocatello,83522
1851,W 600   N,Caldwell,83535
2104,S 3400   W,Pocatello,83417
352,S 2800   W,Pocatello,83491
2726,W 500   S,Cambridge,83552
2948,W 1300   S,Sun Valley,83440
1198,S 3000   W,Cambridge,83340
2851,900   S,Caldwell,83359
2897,W 900   S,Cambridge,83516
1008,S 2800   W,Sun Valley,83549
798,S 2600   W,Sun Valley,83497
2852,W 900   S,Caldwell,83363
2751,W 1000   S,Pocatello,83456
1009,S 2800   W,Cambridge,83567
2710,W 800   S,Sun Valley,83547
1820,W 400   S,Caldwell,83434
372,S 1800   W,Pocatello,83608
372,S 1800   W,Caldwell,83515
466,S 1800   W,Cambridge,83498
428,S 1800   W,Caldwell,83373
1826,W 200   S,Sun Valley,83606
2035,W 200   S,Caldwell,83361
2120,W 400   S,Cambridge,83541
1902,W 100   S,Caldwell,83433
2087,W HOFF RD,Pocatello,83320
2151,W HOFF,Pocatello,83417
2287,W HOFF RD,Caldwell,83309
203,W 2200   W,Pocatello,83340
2220,W 200   S,Sun Valley,83405
150,S 2100   W,Sun Valley,83537
2004,W 200   S,Pocatello,83609
179,S 2100   W,Cambridge,83385
2058,W 200   S,Sun Valley,83347
1250,W 200   N,Caldwell,83446
1241,W 300   N,Cambridge,83369
158,N 1200   W,Caldwell,83380
134,N 1200   W,Cambridge,83515
184,N 1400   W,Caldwell,83364
1499,W 200   N,Pocatello,83572
1415,W 200   N,Cambridge,83369
152,N 1400   W,Caldwell,83484
116,N 1400   W,Caldwell,83407
1415,W 200   N,Sun Valley,83577
1650,W HOFF,Sun Valley,83416
2,N 1600   W,Caldwell,83555
1650,W HOFF,Cambridge,83582
1346,W 300   N,Sun Valley,83572
318,N 1400   W,Cambridge,83582
350,N 1400   W,Cambridge,83321
320,N 1400   W,Pocatello,83444
366,N 1400   W,Caldwell,83560
1547,W 400   N,Cambridge,83513
1598,W 300   N,Caldwell,83473
1547,W 200   N,Caldwell,83564
1540,W 300   N,Caldwell,83587
1675,W 400   N,Caldwell,83525
1624,W 300   N,Sun Valley,83359
1674,W 300   N,Caldwell,83502
1473,W TABER,Caldwell,83567
559,N 1400   W,Pocatello,83476
511,N 1400   W,Pocatello,83320
561,N 1400   W,Sun Valley,83353
1650,W 500   N,Caldwell,83534
701,N 1500   W,Caldwell,83568
758,N 1400   W,Caldwell,83395
904,N 1200   W,Sun Valley,83407
631,N 1100   W,Caldwell,83472
802,W 1050   N,Cambridge,83403
932,S 1500   W,Cambridge,83357
943,S 1600   W,Sun Valley,83372
1501,W 800   S,Cambridge,83459
894,S 1500   W,Sun Valley,83311
822,S 1500   W,Pocatello,83495
894,S 1500   W,Cambridge,83361
1795,W 800   S,Sun Valley,83592
1346,W 1000   N,Caldwell,83313
1615,W 200   S,Caldwell,83419
1767,W 200   S,Sun Valley,83549
2048,W HOFF RD,Cambridge,83383
1198,S 3000   W,Caldwell,83489
2134,W 200   S,Caldwell,83611
2004,W 200   S,Caldwell,83530
179,S 2100   W,Pocatello,83404
114,N 1600   W,Sun Valley,83609
460,N 1400   W,Cambridge,83471
480,N 1400   W,Caldwell,83342
602,N 1400   W,Sun Valley,83472
950,N 1200   W,Cambridge,83390
975,N 700   W,Caldwell,83546
1099,N 900   W,Cambridge,83505
773,N 850   W,Caldwell,83610
1720,W 500   S,Pocatello,83311
198,S 1700   W,Caldwell,83512
1575,W 100   S,Cambridge,83580
1533,W 100   S,Cambridge,83540
434,W 1500   N,Cambridge,83307
1459,N 400   W,Pocatello,83351
1459,N 400   W,Caldwell,83336
1252,N 400   W,Pocatello,83355
425,W 1250   N,Sun Valley,83407
651,N 350   W,Cambridge,83577
647,N 350   W,Pocatello,83373
