NUMBER,STREET,CITY,POSTCODE
2264,FERMI RD,Las Vegas,89508
2509,BOHR RD,Las Vegas,89493
5560,NEWTON RD,Las Vegas,89566
2540,KELVIN RD,Reno,89465
5,TESLA CI,Las Vegas,89363
4150,LEVI GULCH,Reno,89519
290,ARROWHEAD DR,Reno,89169
2600,COLLEGE PY H-35,Las Vegas,89414
0,SEC 04 15/19 W2 W2 SE4,Reno,89387
24,CASTLE WY,Reno,89262
1525,COLLEGE PY,Reno,89338
2527,BOHR RD,Las Vegas,89414
4783,LANGO DR,Reno,89546
4733,LANGO DR,Reno,89548
99,RUBY LN,Las Vegas,89488
810,ARROWHEAD DR,Las Vegas,89446
4070,WEISE RD,Las Vegas,89334
157,DYER CT,Las Vegas,89314
306,W GARDENGATE WY,Las Vegas,89158
1919,COLLEGE PY,Las Vegas,89568
3790,PROSPECT DR,Las Vegas,89316
3433,N LOMPA LN,Reno,89111
3940,APOLLO DR,Las Vegas,89110
5533,SALK RD,Reno,89337
4100,HOBART RD,Las Vegas,89211
5055,METRIC WY,Las Vegas,89297
4722,BLACKROCK CT,Reno,89555
4732,LANGO DR,Las Vegas,89132
4201,MIDAS WY,Reno,89567
2600,COLLEGE PY H-27,Reno,89200
3431,DEBBIE WY,Las Vegas,89390
5440,HWY 50 EAST,Las Vegas,89565
300,W HAMPTON DR,Las Vegas,89157
3001,MURPHY DR,Las Vegas,89110
3121,SURREY LN,Las Vegas,89313
1678,ROBB DR,Las Vegas,89197
3746,MEADOW WOOD RD,Las Vegas,89261
4741,FOX CREEK RD,Las Vegas,89354
3760,MEADOW WOOD RD,Reno,89525
1188,W BONANZA DR,Las Vegas,89266
4550,N CARSON ST,Reno,89413
1420,SILVER OAK DR,Reno,89409
2600,COLLEGE PY H-58,Reno,89137
18,HEAVEN HILL WY,Las Vegas,89376
1064,GENOA LN,Las Vegas,89556
2501,ARROWHEAD DR,Las Vegas,89326
3850,LAKEVIEW RD,Las Vegas,89295
186,GALENA WY,Las Vegas,89430
4223,MINA WY,Las Vegas,89165
2600,COLLEGE PY H-19,Reno,89186
6700,ASTRO DR,Las Vegas,89356
1910,COLLEGE PY,Las Vegas,89204
1918,YALE DR,Reno,89392
27,CASTLE WY,Las Vegas,89247
0,OLD HOT SPRINGS RD /CHALLENGER,Las Vegas,89499
3430,E NYE LN,Las Vegas,89526
2412,MERRILL RD,Reno,89428
5241,METRIC WY,Las Vegas,89554
2214,MOUTON DR,Las Vegas,89171
529,NORTH SUTRO TE,Las Vegas,89248
4838,ANGELO CT,Las Vegas,89185
0,COMBS CANYON RD,Las Vegas,89224
750,MARK WY,Las Vegas,89193
1001,MARK WY,Las Vegas,89383
1992,RADCLIFF DR,Las Vegas,89554
3360,DALE DR,Las Vegas,89151
3183,IMPERIAL WY,Las Vegas,89562
3227,OTHA ST,Las Vegas,89276
3065,APOLLO DR,Las Vegas,89130
2600,COLLEGE PY H-60,Las Vegas,89205
3091,AIRPORT RD,Las Vegas,89130
0,SEC 09 15/19,Reno,89153
0,SEC 28 16/20,Reno,89377
4,LAKEVIEW CT,Las Vegas,89541
0,METRIC WY,Las Vegas,89365
2600,COLLEGE PY,Las Vegas,89411
2600,COLLEGE PY H-34,Las Vegas,89313
6441,HWY 50 EAST,Las Vegas,89145
0,CARABOU DR & UNICORN DR,Las Vegas,89120
5922,SALK RD,Reno,89396
5310,CORRINNE CT,Las Vegas,89103
970,SOUTH SUTRO TE,Reno,89131
0,SEC 06 15/21 & SEC 7,Reno,89229
2600,COLLEGE PY H-24,Las Vegas,89414
2600,COLLEGE PY H-46,Reno,89362
3450,OTHA ST,Las Vegas,89531
4333,TIMBERLINE DR,Reno,89111
3236,N ROOP ST,Las Vegas,89514
3050,OTHA ST,Reno,89431
2874,N CARSON ST,Reno,89171
1263,NORTHILL DR,Las Vegas,89268
10,CROSSETT LN,Reno,89167
4822,PURPLE SAGE CT,Las Vegas,89402
3683,LAKEVIEW RD,Las Vegas,89110
4620,WAGON WHEEL RD,Las Vegas,89385
3777,N CARSON ST,Las Vegas,89347
32,CASTLE WY,Las Vegas,89370
3425,NORTHGATE LN,Las Vegas,89424
0,N ORMSBY BL,Reno,89518
3300,SURREY LN,Las Vegas,89416
105,E HAMPTON DR,Las Vegas,89174
2865,CHRISTMAS TREE DR,Reno,89359
2932,OXBOW DR,Las Vegas,89178
2800,MARVIN DR,Las Vegas,89264
0,SEC 29 16/20 N2 SW4,Las Vegas,89346
2600,MERRILL RD,Reno,89390
1501,JEFFERSON DR,Las Vegas,89420
6,SCARLET CI,Las Vegas,89131
3900,LAKEVIEW RD,Las Vegas,89300
0,NORTHGATE LN,Las Vegas,89459
4114,TECHNOLOGY WY,Las Vegas,89148
3834,ALEXA WY,Reno,89247
261,LISA WY,Reno,89414
233,LISA WY,Las Vegas,89479
3399,BOWERS LN,Las Vegas,89147
1385,TURNER CT,Las Vegas,89113
2740,LORRAINE ST,Reno,89510
0,HWY 50 EAST,Reno,89135
0,HYTECH DR,Las Vegas,89408
2801,ARROWHEAD DR,Reno,89554
1300,STOCKE WY,Las Vegas,89343
2423,AVERY RD,Las Vegas,89345
2282,MOUTON DR,Reno,89368
1174,GENOA LN,Las Vegas,89554
290,SOUTH SUTRO TE,Reno,89513
4053,WEISE RD,Reno,89405
331,MARK WY,Las Vegas,89288
1473,RIDGE POINT DR,Las Vegas,89522
2940,LUKENS LN,Las Vegas,89333
1276,WINDRIDGE DR,Las Vegas,89490
2759,TABLE ROCK DR,Las Vegas,89414
2803,VIKING WY,Reno,89350
3193,DALE DR,Las Vegas,89358
795,W BONANZA DR,Las Vegas,89465
4600,N CARSON ST,Las Vegas,89341
2301,ARROWHEAD DR,Reno,89403
4201,JAMES DR,Reno,89454
2600,COLLEGE PY H-50,Reno,89184
405,BOULDER DR,Las Vegas,89559
0,ASTRO DR,Reno,89562
3789,PROSPECT DR,Reno,89212
3305,N CARSON ST,Las Vegas,89525
803,W NYE LN,Las Vegas,89547
221,E NYE LN,Las Vegas,89528
3349,E NYE LN,Las Vegas,89457
1359,WINDRIDGE DR,Reno,89296
807,W NYE LN,Las Vegas,89536
5070,SIGSTROM DR,Las Vegas,89534
79,ARROWHEAD DR,Las Vegas,89456
0,TECHNOLOGY WY,Reno,89438
1,DENIO CT,Las Vegas,89388
4051,RAMSEY CI,Reno,89276
3488,N ROOP ST,Reno,89449
2780,LOVELACE WY,Reno,89479
215,STONEGATE WY,Reno,89229
2950,SILVER STREAM DR,Reno,89446
2846,TABLE ROCK DR,Las Vegas,89543
2928,HIDDEN HILL LN,Reno,89201
2,EDIZA CI,Reno,89194
1631,EVERGREEN DR,Reno,89152
2664,CARRIAGE CREST DR,Reno,89216
0,SEC 21 16/20,Las Vegas,89214
40,MANZANITA TE,Reno,89439
1032,NUGGET CT,Las Vegas,89497
1018,W BONANZA DR,Reno,89388
0,RYAN WY,Reno,89182
59,ARROWHEAD DR,Las Vegas,89113
4115,RAMSEY CI,Las Vegas,89486
3199,IMPERIAL WY,Las Vegas,89446
1671,ROBB DR,Las Vegas,89529
4489,E NYE LN,Reno,89369
7201,HWY 50 EAST,Las Vegas,89276
3950,LAKEVIEW RD,Las Vegas,89318
0,SEC 02 15/19 NW4 SW4,Las Vegas,89557
41,CASTLE WY,Reno,89158
3530,N CARSON ST,Reno,89237
0,MURPHY DR,Reno,89497
10,COMBS CI,Reno,89458
2707,FOXHILL DR,Reno,89530
1555,MEDICAL PY,Las Vegas,89440
4135,MINA WY,Reno,89415
3791,IMPERIAL WY,Reno,89286
1866,RADCLIFF DR,Las Vegas,89178
3390,SUNRISE DR,Las Vegas,89521
3163,IMPERIAL WY,Las Vegas,89425
213,PINE LN,Las Vegas,89313
2974,COLLIER CT,Reno,89328
4324,E NYE LN,Reno,89484
2883,VIKING WY,Las Vegas,89544
2793,LUKENS LN,Reno,89463
60,GRANITE WY,Reno,89478
25,CASTLE WY,Reno,89448
1877,COMBS CANYON RD,Reno,89546
2840,LOVELACE WY,Las Vegas,89154
1594,ROBB DR,Las Vegas,89460
2628,E NYE LN,Las Vegas,89351
2958,ESSER CT,Las Vegas,89538
0,SEC 11 15/19,Reno,89469
2792,MAYFLOWER WY,Las Vegas,89567
5630,NEWTON RD,Las Vegas,89393
2600,COLLEGE PY H-63,Las Vegas,89109
3515,OTHA ST,Las Vegas,89269
3222,UPLAND CT,Las Vegas,89119
3370,EXECUTIVE POINTE WY,Las Vegas,89331
3360,SUNRISE DR,Las Vegas,89444
271,W HAMPTON DR,Las Vegas,89489
3755,PROSPECT DR,Las Vegas,89539
1,BRYAN CI,Las Vegas,89451
4817,AUGUST DR,Las Vegas,89235
1360,TURNER CT,Reno,89283
5,SCARLET CI,Las Vegas,89229
4795,LANGO DR,Las Vegas,89505
4300,LOUISE DR,Reno,89343
301,BOULDER DR,Las Vegas,89224
0,DRAKO WY,Las Vegas,89203
215,W APPLEGATE WY,Las Vegas,89423
3213,NORTHGATE LN,Las Vegas,89456
1710,AMBERWOOD DR,Las Vegas,89253
2949,MAYFLOWER WY,Las Vegas,89202
901,WENINGER DR,Las Vegas,89155
2704,MOUNTAIN ST,Las Vegas,89262
1459,SHADOWRIDGE DR,Las Vegas,89402
2540,SNEDDON WY,Las Vegas,89466
0,27 SEC 16/20,Las Vegas,89293
4600,NUMAGA PASS RD,Las Vegas,89263
2175,LOCKHEED WY,Reno,89374
4082,NORTHGATE LN,Reno,89479
1754,RADCLIFF DR,Las Vegas,89313
3760,PARADISE VW,Reno,89449
5875,SHEEP DR,Las Vegas,89240
2700,MOUNTAIN ST,Las Vegas,89570
2792,OXBOW DR,Las Vegas,89539
2605,MOUNTAIN ST,Las Vegas,89414
2572,SNOWFLAKE DR,Reno,89411
5352,CORRINNE CT,Reno,89553
2629,DANIELLE DR,Las Vegas,89320
3788,MEADOW WOOD RD,Las Vegas,89231
2350,LOCKHEED WY,Las Vegas,89422
2600,COLLEGE PY H-29,Las Vegas,89153
216,E HAMPTON DR,Reno,89209
2860,LOVELACE WY,Las Vegas,89339
46,BRYAN CI,Reno,89340
4051,TARA ST,Reno,89151
2925,SILVER STREAM DR,Las Vegas,89194
2966,CAMERON CT,Las Vegas,89498
4196,FURNACE CREEK DR,Las Vegas,89424
4376,NORTHGATE LN,Reno,89378
4395,TIMBERLINE DR,Reno,89393
5,LAVENDER CI,Las Vegas,89549
1411,NORTHILL DR,Las Vegas,89103
0,N DEER RUN RD,Reno,89477
2533,WATT RD,Las Vegas,89366
2103,KELVIN RD,Las Vegas,89265
1107,GENOA LN,Las Vegas,89150
4707,BLACKROCK CT,Las Vegas,89389
4200,LOUISE DR,Las Vegas,89124
3600,NORTHGATE LN,Reno,89164
4389,APOLLO DR,Las Vegas,89529
257,E NYE LN,Las Vegas,89117
120,MANZANITA TE,Reno,89373
0,SEC 02 15/19 NW4 NW4,Las Vegas,89289
489,SOUTH SUTRO TE,Reno,89390
4351,MEADOW WOOD RD,Reno,89124
4162,RAMSEY CI,Reno,89473
0,ARROWHEAD DR / TECHNOLOGY WY,Las Vegas,89120
1141,RIDGEFIELD DR,Las Vegas,89257
2054,EVERGREEN DR,Reno,89251
2789,GARDNER LN,Las Vegas,89407
3080,THURMAN CI,Las Vegas,89407
2680,LORRAINE ST,Las Vegas,89186
2542,PINION PINE DR,Las Vegas,89549
1142,NORTHFIELD DR,Las Vegas,89494
3704,CINNABAR AV,Las Vegas,89167
1677,OLD HOT SPRINGS RD,Las Vegas,89199
8,MILLIMAN WY,Reno,89442
3723,TIMBERLINE DR,Reno,89308
4000,MONTEZ DR,Las Vegas,89469
2657,TABLE ROCK DR,Reno,89470
2545,CANTER WY,Las Vegas,89451
2880,DORI WY,Reno,89113
1001,WAGNER DR,Reno,89152
0,CHARDONNAY DR,Las Vegas,89562
0,MCDOWELL RD / MERRILL RD,Reno,89159
1126,GENOA LN,Las Vegas,89407
4806,LINCOLN CT,Las Vegas,89305
650,E BONANZA DR,Las Vegas,89169
911,E BONANZA DR,Las Vegas,89254
4520,WAGON WHEEL RD,Reno,89421
501,BOULDER DR,Las Vegas,89142
3208,PINE LN,Reno,89330
3235,HIKO CT,Las Vegas,89315
2773,TABLE ROCK DR,Las Vegas,89191
2642,E NYE LN,Las Vegas,89279
4420,COUNTY LINE RD,Las Vegas,89569
0,BOEING WY,Reno,89268
4131,N CARSON ST,Las Vegas,89415
136,BROADLEAF LN,Las Vegas,89172
0,HWY 50 EAST,Reno,89194
309,BOULDER DR,Reno,89282
278,E GARDENGATE WY,Las Vegas,89260
3786,PROSPECT DR,Las Vegas,89156
3420,DEBBIE WY,Las Vegas,89476
1240,WINDRIDGE DR,Las Vegas,89330
808,RIDGEFIELD DR,Las Vegas,89150
813,RIDGEFIELD DR,Reno,89217
2662,NEW RIDGE DR,Reno,89385
2638,LONGRIDGE DR,Las Vegas,89203
4733,YUKON CT,Las Vegas,89365
1771,SOUTH SUTRO TE,Las Vegas,89322
4044,JAMES DR,Las Vegas,89225
3701,NORTHGATE LN,Las Vegas,89558
0,GRANITE WY,Reno,89150
3209,NORTHGATE LN,Las Vegas,89436
5835,SHEEP DR,Las Vegas,89363
2974,GENTILE CT,Las Vegas,89475
1865,AMBERWOOD DR,Reno,89256
2951,N DEER RUN RD,Las Vegas,89162
2633,BEL AIRE WY,Las Vegas,89453
608,CHERNUS DR,Las Vegas,89503
2759,VIKING WY,Las Vegas,89461
1384,FLINTWOOD DR,Las Vegas,89544
2630,VIKING WY,Las Vegas,89570
1258,NORTHFIELD DR,Las Vegas,89273
2474,MERRILL RD,Las Vegas,89367
2475,AVERY RD,Las Vegas,89464
0,HWY 50 EAST,Las Vegas,89436
123,E BONANZA DR,Reno,89312
827,SHENANDOAH DR,Las Vegas,89551
3422,IMPERIAL WY,Las Vegas,89480
0,ARROWHEAD DR,Las Vegas,89318
3084,N DEER RUN RD,Las Vegas,89326
2530,WATERCREST DR,Las Vegas,89416
0,FLINTWOOD DR,Las Vegas,89104
0,SEC 31 16/20 NW4 SE4,Las Vegas,89189
31,MADISON DR,Las Vegas,89257
3611,LAKEVIEW RD,Las Vegas,89184
1475,VISTA LN,Reno,89365
1665,OLD HOT SPRINGS RD,Las Vegas,89167
409,AGATE DR,Las Vegas,89120
3384,HARVARD DR,Las Vegas,89299
3002,NORTHGATE LN,Las Vegas,89195
2832,TABLE ROCK DR,Las Vegas,89427
2711,BEL AIRE WY,Las Vegas,89404
1325,ALBERTA CT,Las Vegas,89136
3715,MEADOW WOOD RD,Reno,89435
629,SOUTH SUTRO TE,Reno,89321
97,DEAN CT,Reno,89504
4129,RAMSEY CI,Las Vegas,89487
3662,EMERSON DR,Reno,89268
1729,AMBERWOOD DR,Las Vegas,89229
1133,RIDGEFIELD DR,Las Vegas,89255
1470,RIDGE POINT DR,Las Vegas,89561
1605,TURNER CT,Las Vegas,89522
3088,THURMAN CI,Las Vegas,89501
2747,CARRIAGE CREST DR,Reno,89514
2630,WILMA WY,Reno,89454
27,MADISON DR,Las Vegas,89148
3720,MEADOW WOOD RD,Las Vegas,89126
0,BOEING WY,Reno,89493
4001,LAKEVIEW RD,Las Vegas,89365
6369,HWY 50 EAST,Las Vegas,89527
3383,HARVARD DR,Reno,89516
114,W APPLEGATE WY,Las Vegas,89331
3292,HARVARD DR,Reno,89443
3301,NORTHGATE LN,Reno,89382
3173,IMPERIAL WY,Reno,89300
3131,BUNCH WY,Las Vegas,89276
2742,TABLE ROCK DR,Reno,89241
2485,PEAKWOOD CT,Las Vegas,89182
4501,NUMAGA PASS RD,Reno,89524
2271,ARROWHEAD DR,Las Vegas,89518
4112,NORTHGATE LN,Las Vegas,89501
300,W GARDENGATE WY,Reno,89532
3201,WINGATE WY,Reno,89308
3139,OTHA ST,Las Vegas,89184
2201,W COLLEGE PY,Las Vegas,89248
56,MANZANITA TE,Las Vegas,89198
4752,YUKON CT,Reno,89209
3684,LAKEVIEW RD,Reno,89453
